Date,date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,cp_rl_126,cp_score_126,cp_rl_21,cp_score_21
1991-02-20,1991-02-20,AAPL,0.544642313,0.544642313,0.016666667600000906,0.02559301067890058,-0.012105138730728889,0.6512194993042089,1.7220937684593134,3.332587686647825,2.3766243457784633,1.9546238773690836,1.4812443878425783,1.8231329755415417,1.6887948718667978,2,20,8,2,1991,0.6602295689446805,0.9999146229549164,0.820417942598984,0.9999790246685716
1991-02-21,1991-02-21,AAPL,0.526785188,0.526785188,-0.0327868852158022,0.026228708512389336,0.0045795549720236434,-1.2500381099708,1.258117730242664,3.179745255446979,2.3086859952526617,1.892266192530662,1.440992380922021,1.8219464548177517,1.7172806972570545,3,21,8,2,1991,0.667833851930162,0.9999075969799902,0.5696035613345343,0.9348016572789024
1991-02-22,1991-02-22,AAPL,0.533481609,0.533481609,0.012711862733695511,0.02581590745176836,-0.010720220595010592,0.4924042572373245,1.3067201568232278,3.1915840903236976,2.5256293712830784,1.9447624397318797,1.411017771831192,1.821211551007874,1.743845002332721,4,22,8,2,1991,0.6535939001133804,0.9998558330736048,0.6172682460304757,0.8787160476681386
1991-02-25,1991-02-25,AAPL,0.517856625,0.517856625,-0.029288702246528686,0.026218139352617895,0.0015534640569208318,-1.1171159727474784,0.9381024949729122,2.8568074630750546,2.114787966293261,1.6960169442718616,1.3543632942174004,1.8135578734311002,1.770290591867438,0,25,9,2,1991,0.6838084705081997,0.9999287159638586,0.6511637884793015,0.8272663589441318
1991-02-26,1991-02-26,AAPL,0.520088766,0.520088766,0.004310345551724826,0.025786381145747682,0.0,0.1671558923821936,0.7513456626254479,2.8583831596839424,1.876122695520257,1.8048442412927257,1.3054126410809987,1.807039108224333,1.7965961495077356,1,26,9,2,1991,0.691388451216776,0.999949440985656,0.5546725400192448,0.6293538283496192
1991-02-27,1991-02-27,AAPL,0.520088766,0.520088766,0.0,0.025382117286927682,-0.006390976731946742,0.0,0.5915579289816763,2.7465576039557136,1.852733352246614,1.7701281542188594,1.2577541726194597,1.7983785302183588,1.8205104410496578,2,27,9,2,1991,0.6120121984508485,0.9988855069857074,0.6016080714235137,0.5887331612154074
1991-02-28,1991-02-28,AAPL,0.511160203,0.511160203,-0.017167382923245045,0.02529784248024335,0.003262135479341567,-0.678610554898194,0.5616896845847453,2.7780672716305173,1.8907537138530843,1.672181845718863,1.200956284091402,1.7913885872672732,1.849933603324302,3,28,9,2,1991,0.7064095432795302,0.9999499815359492,0.6522730162438366,0.5482313610603129
1991-03-01,1991-03-01,AAPL,0.515624484,0.515624484,0.008733623967200899,0.024888955549210313,0.004108775190718182,0.3509035945655824,0.35544564851661453,2.892577496568135,2.1229438234477054,1.7998260055895927,1.1589249128627825,1.790048129600837,1.8826344905113526,4,1,9,3,1991,0.7143142193592107,0.9999689235504242,0.8406257042749254,0.6454075764629622
1991-03-04,1991-03-04,AAPL,0.521204836,0.521204836,0.010822511678867386,0.02449932939409203,0.027254225655373936,0.4417472619261658,0.4614036420958604,3.026037466252399,2.100704318735314,1.7793845646591255,1.1320016706495366,1.7948925219685636,1.9189449164870196,0,4,10,3,1991,0.7231827763912424,0.999979177108839,0.2065171289310954,0.9154891183835938
1991-03-05,1991-03-05,AAPL,0.558035156,0.558035156,0.0706638109551232,0.02680511731339723,0.002820092389506126,2.636205994883124,0.9856700095321248,3.0050159780535157,2.290527284725141,1.816725878493141,1.1686978798006578,1.809195775857918,1.9464785224235683,1,5,10,3,1991,0.730622219050832,0.999949764572238,4.6016100982558876e-14,0.8540656039624652
1991-03-06,1991-03-06,AAPL,0.562499438,0.562499438,0.008000001347585384,0.02636222303383815,0.024180057636423724,0.30346459542947885,1.1611217139792294,3.0412565125389506,2.5345097236649203,1.8660511331647935,1.2017331563276168,1.8227393265688145,1.972909512302659,2,6,10,3,1991,0.741217016191654,0.9999684902629036,0.0943061599707183,0.750017263670896
1991-03-07,1991-03-07,AAPL,0.600445828,0.600445828,0.06746031628924043,0.02807916665518715,-0.011258926660663275,2.402504216654816,1.2784323640956392,3.03319417263159,2.7955355634079178,1.8619071105476588,1.2788399526379113,1.8338854109957718,1.9794781826897554,3,7,10,3,1991,0.7468067778319535,0.9999472858242968,0.0,0.750017263670896
1991-03-08,1991-03-08,AAPL,0.580356563,0.580356563,-0.0334572480367038,0.02866693426863797,-0.007606548665972186,-1.167102408760413,1.0874544286542844,2.530393930259571,2.4455467582038026,1.6760191732883685,1.2992380042838727,1.8343799511887338,1.9891358670833013,4,8,10,3,1991,0.7540112244773444,0.999956059727112,0.1897429941191365,0.902812150712328
1991-03-11,1991-03-11,AAPL,0.566963719,0.566963719,-0.023076923487811207,0.02873956122300854,-0.0032360645896692313,-0.8029671472275682,0.7560074601056643,2.166107260615798,2.406143568590335,1.6083865582731585,1.2840009594035438,1.8246689826335512,1.9966639111440685,0,11,11,3,1991,0.7622096344057411,0.999961461760688,0.2376220861356457,0.8815345023996004
1991-03-12,1991-03-12,AAPL,0.561383367,0.561383367,-0.009842520452353565,0.028425189124502474,0.017843638375213855,-0.3462605089184552,0.3678523926425411,2.2426763385446957,2.6616714122496563,1.56256353794492,1.2586173344880531,1.8167634850553596,2.0100037659569745,1,12,11,3,1991,0.7703748252064893,0.9999745767740966,0.2846143759986284,0.8328305536711752
